21587	Spongebob ass niccas fr	0
4232	@MikeLuckas Oh, me, too! Pain meds just made my brain fuzzy and though Banjo Kazooie for a sec.	0
19840	RT @kaseymizell: we may or may not be trash at taking pictures together http://t.co/bPJWl1aO2E	0
9685	Gillette is for pussies	0
14251	Pretty weird that flight attendants are instructed to say &#8220;Welcome to the OC, bitch.&#8221; as you exit the plane.	0
12533	Kevin hart 4"8 bitch	0
10284	I always listen to ghetto ass rap when I get ready for football games.	0
23697	You a dike cause yo man a pussy.	1
4438	@O3_Millz this bitch not tellin me	0
19089	RT @bniceloco: Charlie Sheen is the realest nigga alive http://t.co/pk0nEjIOVh	1
1494	&#8220;@PharaohJas: "Darkskin Girls Ugly" &#127383;&#127378; http://t.co/DYeAY2t5AA&#8221;flawless ass bitch	0
6799	@maccabeez thanks...bitch.	1
15657	RT @FunnyQuotees: Halloween use to be a holiday for kids. It is now National dress like your inner hoe day.	0
8054	Ask tht bitch when she gon let a yung nigga blast tht ass	0
9060	Don't no nigga want an artificial bitch ... Let me repeat that.... Not one !!!	0
16068	RT @JDYDFF: know the bitch before you call yourself lovin it niggas prolly been fuckin it	0
4552	@Pnolia_jay shut up bitch nigga	0
1042	&#128530; RT @coldhearted9_: &#8220;@11wdNICK: Still can't see what niggers see in them white hoes....&#8221;&#128563; don't do this everrrrrr	1
12803	Lmao bitches is crazy...after reading the first sentence to yaself jus see how dumb you sound... #ASideBitchMadeThis http://t.co/PkvTaScEcV	0
8513	California has gangs because California is trash.	0
7002	@p_jones2 this hoe got some issues!	0
17709	RT @Sialovely_: I could literally be crying one minute get up wipe my face &amp; walk out the room like bitch turn uuuup &#128514;&#128514;&#128514; idk it's weird.	0
22427	This bitch got zero kills and yet got a legendary enngram?!!!! What the absolute fuck?!!!!!	0
5345	@YFN_NESHA I'm tired of dat bitch mannn&#128553;&#128553;&#128553;	0
2463	@AllieBruner Stop being mean, bitch! ))))))):	0
18145	RT @The_April_Fool: Fucking with them hoes! &#8220;@Marc_withdaC: &#8220;@CamBlunt: my nigga waka i hate it had to be him http://t.co/E12YlM2yVa&#8221; man t&#8230;	0
10131	Hoes will be hoes lol	0
22035	The jigg is up	0
14827	RT @BriannaChevonne: Birds of a feather flock 2gether. Hoes friends with hoes. Bitter women be with other bitter ones. Haters be with hater&#8230;	0
13029	Makeup save you hoes	0
14511	RT @AmberrrNicollle: Do loyal bad bitches exist? Because I want one	0
3910	@Ken_GTH nahh , whatever you are spook or spic, I still don't like you . Good day	1
17758	RT @SochittaSal: Short bitches run sh!t.	0
4172	@Mattyfatass pussy shit	0
13316	My blue flag brite nd ya bitch blowing me like play bagpipes	0
23491	Wut a bitch	0
15038	RT @ChingonAbe: &#8220;@staycoolwheels: @mjs79 well he is at Genos. So he is the ultimate faggot&#8221; @elmaestro1 got to show this queer how to eat &#8230;	1
19323	RT @dominiggaaa: &#8220;@ReallyAintShit: This bitch come up and pull her titty out... What do you do? http://t.co/3p9chkHeY8&#8221; the more the merrie&#8230;	1
22237	These hoes ain't loyal...	1
22553	This is why people are lucky they only deal with customers over the phone. There'd be a lot of choked out bitches if this was done in person	0
16419	RT @KingUlyssesIV: These bitches aint shit &amp; pussy is my greatest vice I love smokin weed, i hate advice	0
16501	RT @Lady_BlahBlah: furrybah *in my PayPay voice* RT @80sbaby4life: The hoes are for EVERYBODY my nigga!	1
21489	Some niggas save hoes	1
7133	@rniXX oh yeah and fuck the Lakers too, bitch boi!	0
6787	@lovenati omg...what a retard...should have asked her which weighs more? Thousand pounds of feathers or a thousand pounds of steel?	1
6094	@elliottgianaris gook	0
5264	@WaTch_Mark @WaTch_Scenario Normally I would say she must have a great pussy but since I've seen it, that's not true so idk what it is.	0
24256	do they even make dresses any more that have straps &amp; cover your ass? Some of us have no tits &amp; a big ass. I will settle for a trash bag	0
16503	RT @LakeShOwQueen: Kevin Love out here bein a hoe... Just let the world know u gonna be a Laker 2015 season dawg	0
22959	Watch how i stop talking &amp;&amp; the bitch still tweets	0
4102	@MC_JayTee lol I already made it. I'm waiting on my brownies to finish &#128526;	0
167	"@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl"  Smfh &amp; wonder why nobody decent wants them	0
23988	Your boobs are fake, you're a little bitch, you're not cute, and I want to punch you.	1
7609	@zramsin @BetoDavidThomas go fuck your self pussy &#128536;	0
15338	RT @DerrickJaxn: I can't take any girl serious that refers to herself as a "bitch" or the guys she dates as "these niggas".	0
11257	I think you a fat bitch if I never see Ya body on the TL and you got nothing but neck up avi's	1
23473	Wow I swear I'm gonna cunt punch you	0
14225	Pops interviews remain warm and fuzzy.	0
23379	Why the fuck are the @Yankees throwing batting practice tonight? Holy shit...	0
20080	RT @maya_hampton: @whateverduuude ily ur a bad bitch	0
7416	@truuueee_ that bitch done.. have it to u on Sunday my nigga	1
18129	RT @TheSuperNegro_: Can't believe you bitches find this remotely appealing. http://t.co/TKwwapczGr	0
1727	&#8220;@alexvelazquez49: Jordyn stays making fun of how I eat like a little bitch"	0
12785	Little fucking gook who smells like shit. An than thinking they're the motherfuckin boss. THE FUCK!	1
12155	Is anything going down tonight besides my bitch	0
20191	RT @nicoleyyrosiee: Remember in 2001 when the Yankees were in Boston and the crowd was cheering USA instead of "Yankees suck" I love baseba&#8230;	0
15459	RT @EinsteinParody: Waterproof lab coat in case I drown in the pussy #swag	0
17994	RT @TevGonzalez: "@Log_Popz: If you love her hide your bitch so you keep shorty"	0
21078	Say you love that bitch so much I'll kill yo ass in front of her	1
10609	I give off the Selfish little bitch vibe, but if you get to actually know me I tend to put others before myself 24/7	0
1366	&#8220;@Jaydillz: The day you unblock me you will become a man again. But that won't happen so you just a bitch.&#8221; @iDisrespectHoez lol	0
6788	@lucas_wright955 @MichaelGT03 faggots	1
20483	RT @sofancyy_: Swear these hoes ain't got nothing on me &#128107;&#128129;	0
7616	A Nigguh spitting dat crack to your bitch	1
5421	@Zhugstubble meet up eat bitch	0
8804	Cussed out by a fat redneck on the last day YOLO @ShawnnaSanford @MeganMonday13 @kelsss_lynn &#128514;&#128514;	1
6082	@el_prietito @lovexlilyy Them jigaboos aka homewreckers needs to get blocked!	1
4090	@LupeFiasco uh oh its 9/11 what you gonna preach and cry about today faggot.	1
5052	@TheBlackTicTac Call me bitch again and see if I don't slap the sexy out of your mom and have Justin Timberlake bring it back.	0
5227	@UniversionRBLX Don't you have a trash can?	0
14028	Only we would cut our best tight end and resign a trash nigga who can't make a play to save his life	1
11499	I'm a light skin niggah &#128588;	0
13554	Never leave your trust in a bitch,	0
